Estado;Bacia;Nome_ANP;Nome_Operador;Campo;Operador;Contrato;Periodo;Oleo_bpd;Condensado_bpd;Petroleo_bpd;Gas_Natural_Associado_(Mm³/dia);Gas_Natural_Não Associado_(Mm³/dia);Gas_Natural_Total_(Mm³/dia);Volume_Gas_Royalties_(Mm³/dia);Agua_bpd;Instalacao_Destino;Tipo_Instalacao;Tempo_de_Producao_h_por_mes;Periodo_Carga;Corrente;Grau_API;Fracao_Destilados_Leves_Corte;Fracao_Destilados_Leves_Volume;Fracao_Destilados_Medios_Corte;Fracao_Destilados_Medios_Volume;Fracao_Destilados_Pesados_Corte;Fracao_Destilados_Pesados_Volume;Percentual_em_Volumes_Metano;Percentual_em_Volumes_Etano;Percentual_em_Volumes_Propano;Percentual_em_Volumes_Iso-Butano;Percentual_em_Volumes_Butano;Percentual_em_Volumes_Iso-Pentano;Percentual_em_Volumes_n-Pentano;Percentual_em_Volumes_Hexanos;Percentual_em_Volumes_Heptanos;Percentual_em_Volumes_Octanos;Percentual_em_Volumes_Nonanos;Percentual_em_Volumes_Decanos;Percentual_em_Volumes_Undecanos;Percentual_em_Volumes_Oxigenio;Percentual_em_Volumes_Nitrogenio;Percentual_em_Volumes_Gas Carbonico;Densidade_GLP_Gas;Densidade_GLP_Liquido;PCS_GP_KJ_por_metro_cubico;Data_Atualizacao
Rio Grande do Norte;Potiguar;7-ET-298-RN;7ET  0298  RN;ESTREITO;Petrobras;480000037939797;2023/02;13,7282;0,0000;13,7282;0,0057;0,0000;0,0057;0,15900;18,3290;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;663;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-1330D-RN;7ET1330DRN;ESTREITO;Petrobras;480000037939797;2023/02;5,6631;0,0000;5,6631;0,0024;0,0000;0,0024;0,06600;310,7148;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;639;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-FP-395-RN;7FP395RN;FAZENDA POCINHO;Petrobras;480000037999773;2023/02;0,6665;0,0000;0,6665;0,0081;0,0000;0,0081;0,22700;211,0676;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;661;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-1321D-RN;7ET1321DRN;ESTREITO;Petrobras;480000037939797;2023/02;7,8016;0,0000;7,8016;0,0032;0,0000;0,0032;0,09000;474,3453;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;663;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Bahia;Recôncavo;7-RO-64-BA;7RO  0064  BA;MATA DE SÃO JOÃO;PetroRecôncavo;480000036719718;2023/02;0,2914;0,0000;0,2914;0,0001;0,0000;0,0001;0,00300;4,3818;Estação Remanso;INSTALACAO EMB/DESEMB;644;;;;< ºC;%;;%;> ºC;%;76,4173;8,8227;5,1695;1,3472;2,2675;0,8067;0,9588;0,8102;0,462;0,2093;0,0622;0,0126;0;0,0131;1,6131;1,0278;2,07908;537,49442;39478,7016;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-1311-RN;7ET1311RN;ESTREITO;Petrobras;480000037939797;2023/02;23,9882;0,0000;23,9882;0,0099;0,0000;0,0099;0,27800;692,0808;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;639;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-FP-309-RN;7FP309RN;FAZENDA POCINHO;Petrobras;480000037999773;2023/02;2,0451;0,0000;2,0451;0,0246;0,0000;0,0246;0,68900;119,7050;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;649;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-843-RN;7ET843RN;ESTREITO;Petrobras;480000037939797;2023/02;10,7432;0,0000;10,7432;0,0044;0,0000;0,0044;0,12400;392,1661;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;639;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;9-ET-1032-RN;9ET1032RN;ESTREITO;Petrobras;480000037939797;2023/02;10,8984;0,0000;10,8984;0,0045;0,0000;0,0045;0,12600;4,8425;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;663;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-844-RN;7ET844RN;ESTREITO;Petrobras;480000037939797;2023/02;15,4875;0,0000;15,4875;0,0064;0,0000;0,0064;0,17900;279,6919;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;639;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-FP-458-RN;7FP458RN;FAZENDA POCINHO;Petrobras;480000037999773;2023/02;0,7408;0,0000;0,7408;0,0094;0,0000;0,0094;0,26200;151,1556;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;672;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-863-RN;7ET863RN;ESTREITO;Petrobras;480000037939797;2023/02;33,9834;0,0000;33,9834;0,0140;0,0000;0,0140;0,39300;44,4303;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;638;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Bahia;Recôncavo;7-RO-107D-BA;7RO107DBA;MATA DE SÃO JOÃO;PetroRecôncavo;480000036719718;2023/02;2,4144;0,0000;2,4144;0,0109;0,0000;0,0109;0,30200;352,6355;Estação S. Roque;INSTALACAO EMB/DESEMB;195;;;;< ºC;%;;%;> ºC;%;76,4173;8,8227;5,1695;1,3472;2,2675;0,8067;0,9588;0,8102;0,462;0,2093;0,0622;0,0126;0;0,0131;1,6131;1,0278;2,07908;537,49442;39478,7016;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-290-RN;7ET  0290  RN;ESTREITO;Petrobras;480000037939797;2023/02;2,1767;0,0000;2,1767;0,0009;0,0000;0,0009;0,02500;538,8112;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;670;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-FP-170-RN;7FP  0170  RN;FAZENDA POCINHO;Petrobras;480000037999773;2023/02;8,3421;0,0000;8,3421;0,1021;0,0000;0,1021;2,85800;246,9824;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;672;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-872-RN;7ET872RN;ESTREITO;Petrobras;480000037939797;2023/02;6,1912;0,0000;6,1912;0,0026;0,0000;0,0026;0,07200;171,1772;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;633;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
