UF;Bacia;Exploração;Nome_ANP;Campo;Operador;Período;Petróleo_(bbl/dia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-36A-RJS;TUPI;Petrobras;2023/01;18.472,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;3-BRSA-854-RJS;TUPI;Petrobras;2023/01;17.729,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-46-RJS;TUPI;Petrobras;2023/01;9.268,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-45D-RJS;TUPI;Petrobras;2023/01;2.229,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-73D-RJS;TUPI;Petrobras;2023/01;1.981,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-70-RJS;TUPI;Petrobras;2023/01;7.980,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-69-RJS;TUPI;Petrobras;2023/01;17.047,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-68-RJS;TUPI;Petrobras;2023/01;12.168,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-66-RJS;TUPI;Petrobras;2023/01;16.480,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-67D-RJS;TUPI;Petrobras;2023/01;1.934,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-LL-60D-RJS;TUPI;Petrobras;2023/01;11.519,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;4-RJS-449-RJ;ENCHOVA;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;4-RJS-410-RJ;ENCHOVA;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-41D-RJS;ENCHOVA;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-33DA-RJS;ENCHOVA;Trident Energy;2023/01;506,0832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-36D-RJS;ENCHOVA;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-37D-RJS;ENCHOVA;Trident Energy;2023/01;159,1918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-42D-RJS;ENCHOVA;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-39D-RJS;ENCHOVA;Trident Energy;2023/01;188,9875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-26D-RJS;ENCHOVA;Trident Energy;2023/01;192,9805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;4-RJS-323-RJ;ENCHOVA;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-35D-RJS;ENCHOVA;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-31D-RJS;ENCHOVA;Trident Energy;2023/01;527,2281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-25D-RJS;ENCHOVA;Trident Energy;2023/01;133,8445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-23D-RJS;ENCHOVA;Trident Energy;2023/01;151,1202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-22D-RJS;ENCHOVA;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-18D-RJS;ENCHOVA;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-EN-40D-RJS;ENCHOVA;Trident Energy;2023/01;289,3524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;1-BRSA-1146-RJS;OESTE DE ATAPU;Petrobras;2023/01;2.557,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;3-BRSA-1172-RJS;OESTE DE ATAPU;Petrobras;2023/01;4.400,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;9-BRSA-1284-RJS;OESTE DE ATAPU;Petrobras;2023/01;3.553,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Santos;mar;7-OATP-1-RJS;OESTE DE ATAPU;Petrobras;2023/01;4.933,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-BO-25H-RJS;BONITO;Trident Energy;2023/01;890,2475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;4-RJS-431-RJ;BONITO;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-BO-23H-RJS;BONITO;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-BO-22H-RJS;BONITO;Trident Energy;2023/01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;mar;7-BO-21HP-RJS;BONITO;Trident Energy;2023/01;836,0848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
